D,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,1,16,maven-dependency-plugin,NO_FIELD,compare(Ljava/lang/Object;Ljava/lang/Object;)I,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,c5751705d9e618971b63f0c0bcd6af84e79e6048,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,419,419,49e5bc8230e6ba4eb705512701fb4148322cf65b,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java
D,UC_USELESS_OBJECT,2,17,maven-dependency-plugin,NO_FIELD,resolvePluginArtifacts()Ljava/util/Set;,bb5cc4673f26f587e5cbc8b98bd9d239f05b07bd,b32fcc3e58699e94b8deec80791013c69d7e7676,src/main/java/org/apache/maven/plugins/dependency/resolvers/ResolvePluginsMojo.java,187,187,05e4193ce41d507c2457c2769ce9593635c1d768,src/main/java/org/apache/maven/plugins/dependency/resolvers/ResolvePluginsMojo.java
D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,resolver,resolvePluginArtifacts()Ljava/util/Set;,ea3da708150a3a30f6abb9b28ef0577e4514fabb,6790d3b5720e0fea98bf629c240ac755996f642c,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,154,154,fe66f40da1dbfaea3dd5fe41749e4ad7980f45f7,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java
D,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,17,maven-dependency-plugin,project,execute()V,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,d06a09e42a15ab9fea6ff1b35755d16a6b6a89a5,src/main/java/org/apache/maven/plugin/dependency/resolvers/ListRepositoriesMojo.java,59,59,ea0eadc1ffb267142384e59e1e1f52cb47d1f83b,src/main/java/org/apache/maven/plugin/dependency/resolvers/ListRepositoriesMojo.java
V,EI_EXPOSE_REP2,2,18,maven-dependency-plugin,resolvedDependencies,<init>(Ljava/util/Set;Ljava/util/Set;Ljava/util/Set;)V,b8a91d2798058cadeaee1da50b4b2e5e9680aae7,dc7b4335f2c9e814775b1391b01e3a46bb4e871b,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java,49,49,84d354e7425f052a39d97f85e1064f7093bf17b3,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java
D,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,20,maven-dependency-plugin,appendOutput,NO_METHOD,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,c5751705d9e618971b63f0c0bcd6af84e79e6048,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,102,102,49e5bc8230e6ba4eb705512701fb4148322cf65b,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java
D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,factory,getArtifact(Lorg/apache/maven/plugin/dependency/fromConfiguration/ArtifactItem;)Lorg/apache/maven/artifact/Artifact;,ea3da708150a3a30f6abb9b28ef0577e4514fabb,6790d3b5720e0fea98bf629c240ac755996f642c,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,214,214,fe66f40da1dbfaea3dd5fe41749e4ad7980f45f7,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java
D,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,17,maven-dependency-plugin,project,fillMissingArtifactVersion(Lorg/apache/maven/plugin/dependency/fromConfiguration/ArtifactItem;)V,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,d06a09e42a15ab9fea6ff1b35755d16a6b6a89a5,src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/AbstractFromConfigurationMojo.java,278,278,ea0eadc1ffb267142384e59e1e1f52cb47d1f83b,src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/AbstractFromConfigurationMojo.java
I,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,NO_FIELD,readClasspathFile()Ljava/lang/String;,bb5cc4673f26f587e5cbc8b98bd9d239f05b07bd,05ad8b8f2fc9c06fe76794ce03a428c395371564,src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java,380,380,7309af7666c18553f5720facac3ec5a95ef18988,src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java
V,EI_EXPOSE_REP2,2,18,maven-dependency-plugin,skippedDependencies,<init>(Ljava/util/Set;Ljava/util/Set;Ljava/util/Set;)V,b4572351fe5b25906e961febd4aa1fc48966cda3,c115fda2f80b4a562ac86d4a39b2aa476eb66042,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java,51,51,f0caccb38ec56771b21a7b26f442e49ae290ac95,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java
B,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,maven-dependency-plugin,NO_FIELD,unpackFile(Lorg/apache/maven/artifact/Artifact;Ljava/io/File;Ljava/io/File;Lorg/codehaus/plexus/archiver/manager/ArchiverManager;Lorg/apache/maven/plugin/logging/Log;Z)V,b8a91d2798058cadeaee1da50b4b2e5e9680aae7,7196ab8588b0c4b79f64c4aeace875b989ade676,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyUtil.java,94,94,bd29761d239ec6be183fdf50ae668a4fdc17c3e0,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyUtil.java
D,UC_USELESS_OBJECT,2,17,maven-dependency-plugin,NO_FIELD,buildTree(Lorg/apache/maven/shared/dependency/graph/DependencyNode;Lorg/eclipse/aether/graph/DependencyNode;)Lorg/apache/maven/shared/dependency/graph/DependencyNode;,af98e585a57d5405902b32a722f91a2073971cd5,2dc1c7a9f037f338cd13b082fe2027c9bd729727,src/main/java/org/apache/maven/plugins/dependency/tree/TreeMojo.java,390,390,3ed0f503f4935191e6e6eeb2be498c96a05222f2,src/main/java/org/apache/maven/plugins/dependency/tree/TreeMojo.java
D,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,mavenProjectBuilder,NO_METHOD,3c1e9855b26296b6e8c5a2bf234371a6cf09662a,7196ab8588b0c4b79f64c4aeace875b989ade676,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,84,84,bd29761d239ec6be183fdf50ae668a4fdc17c3e0,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java
D,DLS_DEAD_LOCAL_STORE,3,20,maven-dependency-plugin,NO_FIELD,translate(Ljava/util/Set;Lorg/apache/maven/plugin/logging/Log;)Ljava/util/Set;,b308ef3f57fa21b6987b2a51ef99782fb0242f5c,c5751705d9e618971b63f0c0bcd6af84e79e6048,src/main/java/org/apache/maven/plugin/dependency/utils/translators/ClassifierTypeTranslator.java,60,60,49e5bc8230e6ba4eb705512701fb4148322cf65b,src/main/java/org/apache/maven/plugin/dependency/utils/translators/ClassifierTypeTranslator.java
V,EI_EXPOSE_REP2,2,18,maven-dependency-plugin,unResolvedDependencies,setUnResolvedDependencies(Ljava/util/Set;)V,b4572351fe5b25906e961febd4aa1fc48966cda3,c115fda2f80b4a562ac86d4a39b2aa476eb66042,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java,102,102,f0caccb38ec56771b21a7b26f442e49ae290ac95,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java
D,UC_USELESS_OBJECT,2,17,maven-dependency-plugin,NO_FIELD,resolvePluginArtifacts()Ljava/util/Set;,af98e585a57d5405902b32a722f91a2073971cd5,0c7a2a849df52033a8bc1d751b24ce21bbdc07bf,src/main/java/org/apache/maven/plugins/dependency/resolvers/ResolvePluginsMojo.java,175,175,d2a61a7057a4f1eef5de1c9cbc4b5d13a5f5c0ef,src/main/java/org/apache/maven/plugins/dependency/resolvers/ResolvePluginsMojo.java
C,UWF_UNWRITTEN_FIELD,3,15,maven-dependency-plugin,excludeTransitive,NO_METHOD,68d45d1612661520d95e4bc3222bbb55e2d6b471,f8c288e37e765e44ff2fa17bb3c56ffb67a7485d,src/main/java/org/apache/maven/plugin/dependency/resolvers/ResolveDependencySourcesMojo.java,89,89,e55213c046e3eb31057c5e4c2272ee23cee2f793,src/main/java/org/apache/maven/plugin/dependency/resolvers/ResolveDependencySourcesMojo.java
V,EI_EXPOSE_REP2,2,18,maven-dependency-plugin,skippedDependencies,setSkippedDependencies(Ljava/util/Set;)V,b8a91d2798058cadeaee1da50b4b2e5e9680aae7,dc7b4335f2c9e814775b1391b01e3a46bb4e871b,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java,85,85,84d354e7425f052a39d97f85e1064f7093bf17b3,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java
I,DM_CONVERT_CASE,3,20,maven-dependency-plugin,NO_FIELD,unpack(Ljava/io/File;Ljava/io/File;Lorg/codehaus/plexus/archiver/manager/ArchiverManager;Lorg/apache/maven/plugin/logging/Log;)V,3c2a26b65d12938df6f230ca0624c97d5be6479d,3c2a26b65d12938df6f230ca0624c97d5be6479d,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyUtil.java,128,128,090288128325f784c342bc25c93c6df94a48de19,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyUtil.java
